"year","commodity","hectares_planted","hectares_harvested","production","yield","price_per_bushel"
1984,"Barley",4.82790398,4.54057692,598.03,131.707932832465,2.08
1984,"Corn",32.58531672,29.0969234,7672.13,263.674956095186,2.55
1984,"Oats",5.02215326,3.30223776,473.66,143.436068031637,1.31
1984,"Sorghum",6.9808335,6.21597696,866.24,139.357015892157,2.42
1985,"Barley",5.31757404,4.69031074,590.21,125.836012306511,2.08
1985,"Corn",33.7508124,30.43643406,8875.45,291.606105449266,2.55
1985,"Oats",5.35804264,3.2981909,518.49,157.204363155571,1.31
1985,"Sorghum",7.40170694,6.79063108,1120.27,164.972884964913,NA
1986,"Barley",5.26901172,4.84409142,608.53,125.623145237833,1.56
1986,"Corn",30.99085388,27.88691226,8225.76,294.968475652959,1.92
1986,"Oats",5.93674362,2.76805224,385,139.086970410645,0.99
1986,"Sorghum",6.20788324,5.60894796,938.87,167.387896392606,1.82
1987,"Barley",4.42321798,4.03067256,521.5,129.3828740085,1.49
1987,"Corn",26.7902132,24.08286386,7131.3,296.115114940487,1.82
1987,"Oats",7.24792626,2.78828654,373.71,134.028549303975,0.94
1987,"Sorghum",4.75910736,4.26134358,730.81,171.497553830194,1.74
1988,"Barley",3.97806338,3.09180104,289.99,93.793228040314,1.44
1988,"Corn",27.40533592,23.5729595,4928.68,209.081935596589,1.77
1988,"Oats",5.62918226,2.23791358,217.38,97.1351181487535,0.9
1988,"Sorghum",4.18445324,3.65836144,576.69,157.636146525752,1.68
1989,"Barley",3.69478318,3.36294066,404.2,120.192427064711,1.34
1989,"Corn",29.26689152,26.21555908,7531.95,287.308387244969,1.65
1989,"Oats",4.89265374,2.78423968,373.59,134.180258504182,0.85
1989,"Sorghum",5.11523104,4.4920146,615.42,137.003116597172,1.57
1990,"Barley",3.32651892,3.04728558,422.2,138.549534960225,1.28
1990,"Corn",30.01556062,27.0937277,7934.03,292.83641172787,1.57
1990,"Oats",4.21682812,2.4078817,357.65,148.533044625905,0.81
1990,"Sorghum",4.26539044,3.67859574,573.3,155.847513703694,1.49
1991,"Barley",3.61789284,3.40340926,464.33,136.430844640765,1.32
1991,"Corn",30.73994856,27.85049052,7474.77,268.389168752063,1.62
1991,"Oats",3.5005339,1.95058652,243.85,125.013680500571,0.83
1991,"Sorghum",4.47582716,3.99425082,584.86,146.42545657661,1.54
1992,"Barley",3.14036336,2.95016094,455.09,154.259380845846,1.4
1992,"Corn",32.09564666,29.16976688,9476.7,324.880895997068,1.72
1992,"Oats",3.21320684,1.821087,294.23,161.568338031077,0.88
1992,"Sorghum",5.33376148,4.8764663,875.02,179.437310988902,1.63
1993,"Barley",3.15250394,2.7316305,398.04,145.715169017186,1.4
1993,"Corn",29.63920264,25.46688998,6337.73,248.861561226252,1.72
1993,"Oats",3.21320684,1.5378068,206.73,134.431711447758,0.88
1993,"Sorghum",3.99829768,3.60979912,534.17,147.977763372052,1.63
1994,"Barley",2.89755176,2.69925562,374.86,138.875324449635,1.54
1994,"Corn",31.93781912,29.34378186,10050.52,342.509361879505,1.89
1994,"Oats",2.68711504,1.62279086,228.84,141.016322953655,0.97
1994,"Sorghum",3.96187594,3.59361168,645.74,179.691090051221,1.8
1995,"Barley",2.70734934,2.54142808,359.38,141.408683892404,1.54
1995,"Corn",28.92695528,26.38957406,7400.05,280.415666549792,1.89
1995,"Oats",2.52119378,1.1938237,161.09,134.936171898749,0.97
1995,"Sorghum",3.81618898,3.3386595,458.65,137.375494566008,1.8
1996,"Barley",2.86922374,2.71544306,392.43,144.517852640961,1.55
1996,"Corn",32.06327178,29.39639104,9232.56,314.071206476916,1.89
1996,"Oats",1.87774304,1.07646476,153.25,142.36415876726,1.03
1996,"Sorghum",5.3013866,4.77934166,795.27,166.397394573377,1.81
1997,"Barley",2.71544306,2.5090532,359.88,143.432590428932,1.57
1997,"Corn",32.18872444,29.40853162,9206.83,313.066633824678,1.89
1997,"Oats",2.05175802,1.13716766,167.25,147.075937773327,1.11
1997,"Sorghum",4.0670943,3.70692376,633.55,170.909908327869,1.76
1998,"Barley",2.56166238,2.3674131,351.57,148.50386694236,1.56
1998,"Corn",32.44367662,29.37615674,9758.69,332.197641998284,1.89
1998,"Oats",1.97891454,1.1128865,165.77,148.954992265608,1.11
1998,"Sorghum",3.89712618,3.12417592,519.93,166.421486277892,1.74
1999,"Barley",2.01533628,1.84941502,272,147.073532472987,1.59
1999,"Corn",31.31864954,28.52631614,9430.61,330.593335421123,1.89
1999,"Oats",1.88988362,0.9914807,145.63,146.881326081284,1.13
1999,"Sorghum",3.75953294,3.45601844,595.17,172.212622800705,1.74
2000,"Barley",2.3471788,2.1043672,317.8,151.019270781259,1.62
2000,"Corn",32.1927713,29.31545384,9915.05,338.219222329461,1.89
2000,"Oats",1.80894642,0.94291838,149.17,158.200331188793,1.16
2000,"Sorghum",3.7231112,3.12822278,470.53,150.414479112002,1.71
2001,"Barley",2.0031957,1.72800922,248.33,143.708723961554,1.65
2001,"Corn",30.6347302,27.83025622,9502.58,341.4478086325,1.89
2001,"Oats",1.7806184,0.77295026,117.6,152.144330736107,1.21
2001,"Sorghum",4.1480315,3.47220588,514.04,148.044216778989,1.71
2002,"Barley",2.02747686,1.66730632,226.91,136.093768300476,1.88
2002,"Corn",31.92567854,28.05688038,8966.79,319.593264773366,1.98
2002,"Oats",2.02343,0.83365316,116,139.146596649379,1.35
2002,"Sorghum",3.88093874,2.88541118,360.71,125.011645653913,1.98
2003,"Barley",2.1650701,1.91416478,278.28,145.379333538882,1.88
2003,"Corn",31.8083196,28.70842484,10087.29,351.370374941128,1.98
2003,"Oats",1.8615556,0.89840292,144.38,160.70740286552,1.35
2003,"Sorghum",3.81214212,3.1565508,411.22,130.275109147618,1.98
2004,"Barley",1.83322758,1.62683772,279.74,171.9532296067,1.85
2004,"Corn",32.75123798,29.79703018,11805.58,396.199887327161,1.95
2004,"Oats",1.65516574,0.72438794,115.7,159.721046708757,1.33
2004,"Sorghum",3.03109814,2.63855272,453.61,171.916216250551,1.95
2005,"Barley",1.57018168,1.32332322,211.9,160.127168327024,1.85
2005,"Corn",33.09522108,30.40001232,11112.19,365.532417652652,1.95
2005,"Oats",1.7199155,0.73652852,114.86,155.947796834806,1.33
2005,"Sorghum",2.6102247,2.32289764,392.74,169.073313105609,1.95
2006,"Barley",1.3961667,1.1938237,180.17,150.918431255804,1.85
2006,"Corn",31.69905438,28.58701904,10531.12,368.388182946409,1.95
2006,"Oats",1.68754062,0.63131016,93.52,148.136377212748,1.33
2006,"Sorghum",2.63855272,1.99914884,276.82,138.468929607062,1.95
